frekvencia	teljesitmeny	csatorna	adohely	cim
101.7	2	MR6-A Régió Rádiója-Pécs 	Pécs	Misina-tető 
95.9	25.1	Neo FM 	Pécs	Misina-tető 
91.8	0.5	Szent István Rádió 	Eger	Nagy-Eged 
90.2	3	MR1-Kossuth Rádió 	Telkibánya	Nagy-hegy 
103.5	50.1	Klassz Rádió  	Tokaj	Nagy-kopasz 
88.3	5	MR1-Kossuth Rádió 	Tokaj	Nagy-kopasz 
92.7	50	MR2-Petőfi Rádió 	Tokaj	Nagy-kopasz 
105.5	50	MR3-Bartók Rádió 	Tokaj	Nagy-kopasz 
97.5	50.1	Neo FM 	Tokaj	Nagy-kopasz 
101.8	0.1	Rádió Express 101.8 	Tokaj	Nagy-kopasz 
94.5	0.1	Fehérvár Rádió 	Székesfehérvár	Öreghegy 
99.2	0.631	Vörösmarty Rádió 	Székesfehérvár	Öreghegy 
101.1	1	Klassz Rádió  	Debrecen	Pallag 
99.7	1.38	MR1-Kossuth Rádió 	Debrecen	Pallag 
89	1	MR2-Petőfi Rádió 	Debrecen	Pallag 
106.6	1	MR3-Bartók Rádió 	Debrecen	Pallag 
91.4	1.2	MR6-A Régió Rádiója - Debrecen 	Debrecen	Pallag 
105.9	5	MR1-Kossuth Rádió 	Fehérgyarmat	Penyige 
90.4	0.1	Európa Rádió 	Miskolc	Pereces 
95.1	1	Szent István Rádió 	Miskolc	Pereces 
91.1	0.2	SUNSHINE Rádió Pilis 	Szentendre	Pismány-hegy 
96.7	3	MR1-Kossuth Rádió 	Kaposvár	Rómahegy 
101.7	0.05	DióRádió 	Gyöngyös	Sár-hegy 
88.9	0.2	Klubrádió Gyöngyös 	Gyöngyös	Sár-hegy 
90.9	0.2	90.9 Jazzy 	Budapest	Sas-hegy 
94.2	0.1	Mária Rádió 	Budapest	Sas-hegy 
92.3	1	MR1-Kossuth Rádió 	Székesfehérvár	Sóstó 
101.8	1	Rádió 1 	Székesfehérvár	Sóstó 
100.3	1	Lánchíd Rádió 	Budapest	SOTE 
91.5	1	Kék Duna Rádió	Győr	Szabadhegy 
101.4	7.6	Klassz Rádió  	Győr	Szabadhegy 
106.4	1	MR1-Kossuth Rádió 	Győr	Szabadhegy 
106.8	7.4	MR3-Bartók Rádió 	Győr	Szabadhegy 
87.6	7.6	Neo FM 	Győr	Szabadhegy 
93.1	7.5	MR2-Petőfi Rádió 	Győr	Szabad-hegy 
94.6	3	MR1-Kossuth Rádió 	Aggtelek	Szár-hegy 
102.1	0.74	102.1 Sztár Rádió 	Budapest	Széchenyi-hegy 
92.1	1	BBC-RFI 	Budapest	Széchenyi-hegy 
95.8	2	Infó Rádió 	Budapest	Széchenyi-hegy 
89.5	83	Juventus Rádió 	Budapest	Széchenyi-hegy 
103.3	81.3	Klassz Rádió  	Budapest	Széchenyi-hegy 
95.3	0.93	Klubrádió 	Budapest	Széchenyi-hegy 
107.8	83.2	MR1-Kossuth Rádió 	Budapest	Széchenyi-hegy 
94.8	77.6	MR2-Petőfi Rádió 	Budapest	Széchenyi-hegy 
105.3	81.3	MR3-Bartók Rádió 	Budapest	Széchenyi-hegy 
100.8	79.4	Neo FM 	Budapest	Széchenyi-hegy 
88.8	0.1	Rádió C 	Budapest	Széchenyi-hegy 
98.6	1.2	Rádió Café 	Budapest	Széchenyi-hegy 
94.1	0.1	Mária Rádió 	Vác	Sződliget 
93.7	2.5	MR1-Kossuth Rádió 	Balassagyarmat	Szügy-Dezsőpuszta 
93.5	0.002	Fúzió Rádió 	Budapest	Újbuda
95.6	0.126	Kanizsa Rádió 	Nagykanizsa	Újudvar
94.3	12	MR2-Petőfi Rádió 	Nagykanizsa	Újudvar
106.7	5	MR1-Kossuth Rádió 	Nagykanizsa	Újudvar. Tukora 
104.7	20.4	MR3-Bartók Rádió 	Nagykanizsa	Újudvar. Tukora 
90.2	8.3	Neo FM 	Nagykanizsa	Újudvar. Tukora 
90.3	3	MR2-Petőfi Rádió 	Sárszentlőrinc	Úzd 
106.9	3	MR3-Bartók Rádió 	Sárszentlőrinc	Úzd 
101.5	3	Neo FM 	Sárszentlőrinc	Úzd 
90.3	0.4	Tilos Rádió 	Budapest	Változó 
101.4	0.001	Helló Rádió 	Budapest	XIV. kerület 
96.8	1	Rádió 17 Rákosmente 	Budapest	XVII. Kerület
106.6	0.1	Rádió Szentgotthárd	Szentgotthárd	Zsida-hegy 
89.2	0.05	Parti Rádió 	Abádszalók 	
88.8	0.1	Klubrádió 	Ajka 	
97	0.01	Kis-Duna Rádió 	Áporka 	
92.4	0.001	Hernád Völgye Rádió	Aszaló 	
95	0.1	MR1-Kossuth Rádió 	Bácsalmás 	
94.3	0.05	Alisca Rádió 	Baja 	
89.8	0.1	Bajai Rádió 	Baja 	
88.7	0.24	Gong Rádió Baja 	Baja 	
92.2	0.035	SuGo Rádió 	Baja 	
95.7	1	Gazdasági Rádió 95.7 	Balassagyarmat 	
106.3	0.2	Part Rádió 	Balatonalmádi 	
88.2	0.05	Pelso Rádió 	Balatonföldvár 	
91.8	0.2	Klubrádió 	Balatonfüred 	
88	0.001	Alfa Rádió 	Balkány 	
102.7	0.95	Aqua Rádió Barcs 	Barcs 	
89.5	0.05	MR1-Kossuth Rádió 	Barcs 	
105.4	0.05	MR1-Kossuth Rádió 	Battonya 	
94.4	0.07	Torony Rádió 	Békés 	
104	1	Csaba Rádió 	Békéscsaba 	
100.9	0.25	Juventus Rádió Békéscsaba 	Békéscsaba 	
97.3	1	MR1-Kossuth Rádió 	Békéscsaba 	
88.9	0.3	Rádió 1 Start 	Békéscsaba 	
88	0.007	Berettyó Night 	Berettyóújfalu 	
97.9	0.01	Berettyó Rádió 	Berettyóújfalu 	
90.3	0.1	Rádió Plusz 	Berettyóújfalu 	
94	0.8	Fortuna Rádió 	Bonyhád 	
92.8	0.25	Tamási Rádió 	Bonyhád 	
104.8	0.3	Budaörs Rádió 	Budaörs 	
91.6	1	Fortuna Rádió 	Cece 	
92.5	0.316	Cegléd Rádió 88 	Cegléd 	
93	1	MR1-Kossuth Rádió 	Cegléd 	
98.8	0.003	Rádió Cell 	Celldömölk 	
89.4	6.3	MR2-Petőfi Rádió 	Csávoly 	
96.7	6.3	Neo FM 	Csávoly 	
93.5	0.002	Csobán Rádió 	Csobánka 	
87.6	0.5	Gong Rádió	Csongrád	
93.4	1	Dabas Rádió 	Dabas 	
97.5	0.4	Mária Rádió 	Dabas 	
90	0.5	Friss Rádió 	Debrecen 	
94.4	1	Gold FM Debrecen	Debrecen 	
93.5	1	Klubrádió Debrecen 	Debrecen 	
88	0.002	Méliusz Rádió 	Debrecen 	
92.3	0.3	Rádió 1 	Debrecen 	
95	0.5	Rádió FM 95 	Debrecen 	
95.6	0.91	Rádió FUN 	Debrecen 	
106	0.74	Rádió Max 	Debrecen 	
96.8	0.001	Rádió Twist 	Debrecen 	
94.7	0.1	Rádió Plusz 	Derecske 	
98.7	0.8	N-Joy 98.7 Dombóvár 	Dombóvár 	
104.9	0.81	Mária Rádió 	Dömös 	
106.5	1	Alisca Rádió 	Dunaföldvár 	
97.4	1	Rádió Antritt Dunaföldvár 	Dunaföldvár 	
96.6	0.001	Haraszti Hangja Rádió 	Dunaharaszti 	
93.1	0.1	EL-DO Rádió 	Dunaújváros 	
99.1	0.1	Gerilla Rádió 99.1 	Dunaújváros 	
91.3	0.1	MR1-Kossuth Rádió 	Dunaújváros 	
102.9	0.5	Rádió 24 	Dunaújváros 	
91.9	0.004	Diák Rádió Edelény 	Edelény 	
106.9	1	DióRádió FM 106.9 	Eger 	
100.7	1	Gazdasági Rádió 100.7 	Eger 	
96.2	0.1	MR1-Kossuth Rádió 	Eger 	
101.9	0.16	Rádió 1 	Eger 	
95.4	5	Rádió Express 95.4 	Encs 	
101.3	0.1	Rádió 6 FM 101.3 	Érd 	
92.4	0.003	Zöld Rádió 	Erdőkertes 	
101.3	0.05	Juventus Rádió 	Fonyód 	
92.4	0.001	Rádió Füzes 	Füzesabony 	
105.6	10	MR1-Kossuth Rádió 	Gerecse 	
97.3	1.25	Abszolút Rádió 	Göd 	
93.6	0.1	Pelikán Rádió	Gödöllő 	
98.9	0.1	Mária Rádió 	Gyál 	
97.2	0.05	Gong Rádió Gyömrő 	Gyömrő 	
97.2	0.05	Rádió Gyömrő 97.2 MHz 	Gyömrő 	
96.4	0.58	Rádió 1 	Győr 	
90.5	0.25	Juventus Rádió	Gyula 	
96	0.25	MR1-Kossuth Rádió 	Gyula 	
98	0.004	Abakusz Rádió 	Hajdúböszörmény 	
98.9	0.35	Rádió Fun 	Hajdúböszörmény 	
93.3	0.15	Rádió FM 95 Hajdúnánás 	Hajdúnánás 	
100.6	0.25	Rádió Fun 	Hajdúszoboszló 	
87.8	0.001	ZsebRádió 	Halásztelek 	
87.9	0.2	Dió Rádió 	Hatvan 	
94	0.316	Szent István Rádió 	Hatvan 	
92.4	0.001	Zagyvan Rádió 	Hatvan 	
93.7	0.1	Diórádió 	Heves 	
97.9	0.001	Galaxis Rádió 	Heves 	
90.8	0.1	MR1-Kossuth Rádió 	Hódmezővásárhely 	
97.6	0.8	Rádió 7 Hódmezővásárhely 	Hódmezővásárhely 	
105.4	0.003	Rádió X 	Hódmezővásárhely 	
97.7	0.1	Rádió Jászberény 	Jászberény 	
100.5	67.6	Klassz Rádió  	Kab-hegy 	
102.3	3.16	MR1-Kossuth Rádió 	Kab-hegy 	
93.9	65.6	MR2-Petőfi Rádió 	Kab-hegy 	
105	69.5	MR3-Bartók Rádió 	Kab-hegy 	
107.2	70.8	Neo FM 	Kab-hegy 	
100	0.1	Korona Rádió Kalocsa 	Kalocsa 	
91.2	0.1	Enjoy Rádió 	Kaposvár 	
97.5	0.15	K1 Rádió 	Kaposvár 	
99.9	1	Kapos Rádió 	Kaposvár 	
102.6	0.5	N-Joy 102.6 Kaposvár 	Kaposvár 	
94.5	0.125	Juventus Rádió Kapuvár 	Kapuvár 	
97.9	10	MR1-Kossuth Rádió 	Karcag 	
92.4	0.003	Diák Rádió Kazincbarcika 	Kazincbarcika 	
97.7	0.8	MR1-Kossuth Rádió 	Kazincbarcika 	
88.8	0.5	Rádió TOP 	Kazincbarcika 	
95.9	0.2	Új Juventus 	Kazincbarcika 	
99.6	1.25	Gong Rádió Kecel FM 99.6 MHz 	Kecel 	
96.5	2	Gong Rádió 	Kecskemét 	
97.7	1	Klubrádió 	Kecskemét 	
104.9	1	MR1-Kossuth Rádió 	Kecskemét 	
104.7	26.9	Klassz Rádió  	Kékes 	
99.8	0.32	MR1-Kossuth Rádió 	Kékes 	
102.7	30.2	MR2-Petőfi Rádió 	Kékes 	
90.7	28.2	MR3-Bartók Rádió 	Kékes 	
95.5	20	Neo FM 	Kékes 	
97.1	0.003	Kerepes Rádió 	Kerepes 	
99.4	0.1	Helikon Rádió 	Keszthely 	
92.2	0.1	Klubrádió	Keszthely 	
91.7	1.2	Kunság Rádió 	Kiskőrös 	
89.9	0.001	Rádió Smile 	Kiskunfélegyháza 	
91.1	0.1	Sirius Rádió 	Kiskunfélegyháza 	
102.7	0.1	MR1-Kossuth Rádió 	Kiskunhalas 	
92.9	0.05	Party FM 92.9 Rádió 	Kiskunhalas 	
88.2	0.2	Mária Rádió 	Kiskunmajsa 	
101.7	0.003	Rádió Kistarcsa 	Kistarcsa 	
107	0.8	Rádió 7 Kistelek 	Kistelek 	
103.2	0.3	Európa Rádió Kisújszállás 	Kisújszállás 	
93.4	0.2	Vár FM Kisvárda 	Kisvárda 	
101.6	21.9	Klassz Rádió  	Komádi 	
89.9	5	MR1-Kossuth Rádió 	Komádi 	
96.7	37.1	MR2-Petőfi Rádió 	Komádi 	
105.1	30	MR3-Bartók Rádió 	Komádi 	
103	38.9	Neo FM 	Komádi 	
90.5	0.8	Kék Duna Rádió	Komárom 	
88.3	1	Mária Rádió 	Komárom 	
91.4	0.05	Mária Rádió 	Komló 	
99.4	0.25	Rádió 1 	Komló 	
99.8	0.4	Rádió 8 Körmend 	Körmend 	
89.9	0.003	Puszta Rádió 	Kunszentmiklós 	
103.8	0.05	MR1-Kossuth Rádió 	Letenye 	
94.8	0.15	N-Joy 94.8 Letenye 	Letenye 	
96.8	0.2	Árkádia Rádió 	Makó 	
94.2	0.003	Rádió Ice 	Makó 	
88	0.125	N-Joy 88.0	Marcali 	
89.9	0.001	Szóbeszéd Rádió Mártély 	Mártély 	
88.3	0.1	Juventus Rádió	Mezőkovácsháza 	
102.1	0.5	Európa Rádió Mezőkövesd 	Mezőkövesd 	
89.9	0.001	Pont Rádió 	Mezőtúr 	
99.5	0.005	Origó Rádió Miskolc 	Miskolc 	
98.9	0.01	Rádió Avas 	Miskolc 	
92.4	0.0004	Rádió Eper 	Miskolc 	
93.8	0.4	Baranya Rádió 	Mohács 	
106.3	0.1	Mária Rádió 	Monor 	
89	0.1	Ezerjó Rádió 	Mór 	
100.7	0.1	Lajta Rádió 	Mosonmagyaróvár 	
95	1	MR1-Kossuth Rádió 	Mosonmagyaróvár 	
93.6	0.1	Arany Rádió 	Nagykőrös	
93.6	0.1	Gong Rádió Nagykőrös 	Nagykőrös	
102.6	0.3	MR1-Kossuth Rádió 	Nyíregyháza 	
89.6	0.002	Mustár Rádió 	Nyíregyháza 	
103.9	1	Retro FM 	Nyíregyháza 	
99.4	0.1	SUNSHINE Rádió Nyíregyháza 	Nyíregyháza 	
88.6	0.1	Juventus Rádió	Orosháza 	
90.2	0.1	Rádió 1 Orosháza 	Orosháza 	
105	0.05	MR1-Kossuth Rádió 	Ózd 	
98.9	0.01	Ózdi Diák Rádió 	Ózd 	
99.5	0.05	Új Juventus 	Ózd 	
88.7	0.001	Triangulum Rádió 	Őriszentpéter 	
107.5	1	Alisca Rádió 	Paks 	
96.3	0.3	Fortuna Rádió 	Paks 	
92	0.1	MR1-Kossuth Rádió 	Paks 	
92.7	0.1	Klubrádió 	Pápa 	
96.4	0.1	MR1-Kossuth Rádió 	Pápa 	
91.7	0.1	Mária Rádió 	Pécel 	
97.1	0.0008	Periszkóp Rádió 	Pécs	
94.6	0.1	Mária Rádió 	Pécs 	
101.2	0.2	Mediterrán Rádió 	Pécs 	
104.2	0.05	Mária Rádió 	Piliscsaba 	
101.8	0.003	Zöld hullám Rádió 	Piliscsaba 	
91.8	0.16	MR1-Kossuth Rádió 	Püspökladány 	
105.2	5.2	MR1-Kossuth Rádió 	Rábaszentandrás 	
98.9	0.001	Rakamaz FM 	Rakamaz 	
89.9	0.002	Rákóczi Hírmondó 	Rákóczifalva 	
89.9	0.05	MR1-Kossuth Rádió 	Salgótarján 	
100.4	0.1	Rádió Focus 	Salgótarján 	
87.9	0.16	Rádió 1 	Sárbogárd 	
96.6	0.3	Yo! Rádió Sárbogard 	Sárbogárd 	
95.1	0.001	Karzat Rádió Sárospatak 	Sárospatak 	
89.8	0.2	Rádió Express 89.8 	Sárospatak 	
96.5	0.1	Isis Rádió 	Sárvár 	
96	0.2	MR1-Kossuth Rádió 	Sárvár 	
91.4	0.001	Domb Rádió Sellye 	Sellye 	
88.6	0.3	Tenkes Rádió 	Siklós 	
92.6	1	Juventus Rádió 	Siófok 	
94.1	0.5	Gong Rádió Solt 	Solt 	
95.2	0.1	Juventus Rádió Szarvas 	Szarvas 	
105.4	0.003	Rádió Szarvas 	Szarvas 	
92.4	0.003	Rádió Egy 100 	Százhalombatta 	
89.9	0.001	Itt mi vagyunk! Rádió Mi 	Szeged 	
94.9	0.6	Klassz Rádió  	Szeged 	
101.9	2	MR1-Kossuth Rádió 	Szeged 	
104.6	5.1	MR2-Petőfi Rádió 	Szeged 	
105.7	2.2	MR3-Bartók Rádió 	Szeged 	
93.1	0.76	MR6-A Régió Rádiója - Szeged 	Szeged 	
90.3	0.6	Neo FM 	Szeged 	
95.4	1	Rádió 88 	Szeged 	
100.2	2	Rádió Plusz 	Szeged 	
94.2	0.0004	Tisza Rádió 	Szeged 	
99.4	0.2	MR1-Kossuth Rádió 	Szeghalom 	
102.9	0.002	FeZen Rádió 	Székesfehérvár 	
88.9	0.001	Muzik Rádió 	Székesfehérvár 	
87.8	0.001	Rádió Sansz - A lehetőség! 	Székesfehérvár 	
91.1	0.45	Alisca Rádió 	Szekszárd 	
99	0.5	MR1-Kossuth Rádió 	Szekszárd 	
105.1	0.78	Rádió Antritt 	Szekszárd 	
91.6	1	MR1-Kossuth Rádió 	Szentes 	
98.8	32.4	MR2-Petőfi Rádió 	Szentes 	
107.3	34.7	MR3-Bartók Rádió 	Szentes 	
100.4	34.7	Neo FM 	Szentes 	
95.7	0.2	Rádió Plusz 	Szentes 	
106.1	0.1	Rádió Szentes 	Szentes 	
91.4	0.001	Diák Rádió Szerencs 	Szerencs 	
107	0.5	Lakihegy Rádió 	Szigetszentmiklós 	
98.9	1	N-Joy 98.9 Szigetvár 	Szigetvár 	
93.6	5	Rádió Express 93.6 	Szikszó 	
92.2	0.1	Aktív Rádió 	Szolnok 	
94.3	6.3	MR1-Kossuth Rádió 	Szolnok 	
101.2	2	MR6-A Régió Rádiója Debrecen 	Szolnok 	
90.4	0.2	Rádió 2000 	Szolnok 	
98.8	0.002	Berzsenyi Rádió 	Szombathely 	
93	0.1	MR1-Kossuth Rádió 	Szombathely 	
88.4	0.3	Nyugat Rádió	Szombathely 	
97.1	0.2	Rádió Szombathely 	Szombathely 	
101.8	0.002	Taks Rádió 	Taksony 	
101.9	1	Tamási Rádió 	Tamási 	
101.8	0.1	Yo! Rádió 	Tapolca 	
107.4	0.001	Gorba Rádió 	Tardos 	
97.9	0.001	4-SSSS Rádió 	Téglás 	
100.6	3	Mária Rádió 	Telkibánya 	
98.9	0.32	Rise FM 	Tihany 	
88.7	0.3	Parti Rádió 	Tiszafüred 	
102.2	0.5	Aktív Rádió 	Tiszakécske 	
106.4	0.05	MR1-Kossuth Rádió 	Tiszakécske 	
89.6	0.2	Rádió 35 	Tiszaújváros 	
98	0.001	Best of Rádió 	Tiszavasvári 	
89.9	0.003	Rádió Weekend 	Tótkomlós 	
96.4	0.3	Rádió Törökszentmiklós 	Törökszentmiklós 	
98.2	0.1	MR1-Kossuth Rádió 	Túrkeve 	
98.4	0.05	HA-JÓ Rádió 	Vaja 	
97.1	0.5	Yo! Rádió 	Várpalota 	
107.3	0.005	Tavirózsa Rádió 	Veresegyház 	
90.6	1.25	Klubrádió 	Veszprém 	
95.6	0.1	MR1-Kossuth Rádió 	Veszprém 	
94.6	0.1	Rádió 1 	Veszprém 	
100.9	0.1	Villány Rádió 	Villány 	
90.4	0.2	Európa Rádió Záhony 	Záhony 	
88.9	0.1	N-Joy 88.9	Zalaegerszeg 	
92.9	0.1	Rádió Egerszeg 	Zalaegerszeg 	
96.3	0.003	Rádio Studio 	Zalaegerszeg 	
88.7	0.002	Vértes Rádió 	Zámoly 	
